service,failure_rate,mttr
google_cloud_dns,0.002,261
cloud_cdn,0.003,261
cloud_load_balancing,0.004,177
google_app_engine,0.010,261
apigee,0.008,264
cloud_functions,0.009,261
dataflow,0.011,569
api_gateway,0.008,209
api_gateway_read,0.007,209
google_cloud_pub_sub,0.007,264
cloud_memorystore,0.012,225
cloud_sql,0.004,783
cloud_sql_read_replica,0.003,261
cloud_storage,0.003,449
