service,failure_rate,mttr
google_cloud_dns,0.003,174
cloud_cdn,0.0045,174
cloud_load_balancing,0.006,118
google_app_engine,0.015,174
apigee,0.012,176
cloud_functions,0.0135,174
dataflow,0.0165,379
api_gateway,0.012,139
api_gateway_read,0.0105,139
google_cloud_pub_sub,0.0105,176
cloud_memorystore,0.018,150
cloud_sql,0.006,522
cloud_sql_read_replica,0.0045,174
cloud_storage,0.0045,299
